source_opentripmap_id,location_name,normalized_name,city,country,category_raw,latitude,longitude,opentripmap_rate,popularity_score,source_wikidata_id,source_osm_id,data_source
W23914146,Fountain of the Naiads,fountain of the naiads,Rome,Italy,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",41.902713775634766,12.496246337890625,3,3,Q7489878,way/23914146,OpenTripMap
W201482365,Basilica di Santa Maria degli Angeli e dei Martiri,basilica di santa maria degli angeli e dei martiri,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.90342330932617,12.497330665588379,7,7,Q569253,way/201482365,OpenTripMap
W203914283,Obelisco dei Dogali,obelisco dei dogali,Rome,Italy,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",41.90214538574219,12.497461318969727,3,3,Q3348579,way/203914283,OpenTripMap
W112383673,Chiesa di Sant'Isidoro alle Terme,chiesa di sant'isidoro alle terme,Rome,Italy,"religion,architecture,historic_architecture,churches,interesting_places,destroyed_objects,catholic_churches",41.90399932861328,12.496132850646973,3,3,Q3672850,way/112383673,OpenTripMap
W201568922,Baths of Diocletian,baths of diocletian,Rome,Italy,"architecture,historic_architecture,historic,archaeology,interesting_places,baths_and_saunas,saunas,other_archaeological_sites,amusements,other_buildings_and_structures",41.90366744995117,12.49785327911377,7,7,Q836108,way/201568922,OpenTripMap
W203947126,San Bernardo alle Terme,san bernardo alle terme,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.903587341308594,12.494524955749512,3,3,Q1568136,way/203947126,OpenTripMap
Q3890451,Palazzo Massimo alle Terme,palazzo massimo alle terme,Rome,Italy,"palaces,architecture,historic_architecture,interesting_places",41.90176773071289,12.498086929321289,7,7,Q3890451,,OpenTripMap
R2706801,Baths of Diocletian,baths of diocletian,Rome,Italy,"architecture,historic,archaeology,museums,saunas,other_museums,other_archaeological_sites,amusements,historic_architecture,cultural,interesting_places,baths_and_saunas,other_buildings_and_structures",41.90378189086914,12.498210906982422,7,7,Q836108,relation/2706801,OpenTripMap
N4709991816,Terme di Diocleziano,terme di diocleziano,Rome,Italy,"architecture,historic,archaeology,saunas,other_archaeological_sites,amusements,restaurants,tourist_facilities,historic_architecture,interesting_places,baths_and_saunas,foods,other_buildings_and_structures",41.901153564453125,12.497066497802734,7,7,Q836108,node/4709991816,OpenTripMap
W201389491,Teatro dell'Opera,teatro dell'opera,Rome,Italy,"cultural,theatres_and_entertainments,interesting_places,other_theatres",41.90092849731445,12.495469093322754,7,7,Q1050350,way/201389491,OpenTripMap
Q3330142,Museum of the Baths of Diocletian,museum of the baths of diocletian,Rome,Italy,"museums,cultural,interesting_places,other_museums",41.903873443603516,12.49870777130127,7,7,Q3330142,,OpenTripMap
