user_profile_id,top_1_correct,top_3_overlap,top_5_overlap,top_10_overlap,ndcg_at_5,ndcg_at_10,reciprocal_rank
11,1,0.333333,0.4,0.9,0.974906,0.992187,1.0
24,0,0.333333,0.8,0.9,0.99289,0.995688,0.2
26,1,0.666667,1.0,0.7,0.997789,0.992476,1.0
31,1,0.666667,0.6,0.8,0.992886,0.994944,1.0
40,1,0.333333,0.6,0.9,0.99245,0.993027,1.0
45,1,0.666667,0.6,0.7,0.986858,0.992845,1.0
55,1,0.666667,1.0,1.0,0.999629,0.999164,1.0
56,1,0.666667,0.6,1.0,0.988555,0.997112,1.0
60,0,0.666667,0.8,0.7,0.996703,0.990502,0.5
61,1,1.0,0.8,1.0,0.999058,0.999188,1.0
64,1,0.333333,0.8,0.8,0.986098,0.993158,1.0
67,1,0.333333,0.4,0.9,0.972654,0.991,1.0
68,1,0.666667,1.0,0.8,0.998906,0.989765,1.0
71,1,0.333333,0.8,0.9,0.987335,0.994441,1.0
73,1,1.0,1.0,0.9,0.99844,0.995325,1.0
77,1,0.666667,1.0,0.7,0.996554,0.980397,1.0
79,1,0.666667,1.0,0.9,0.998361,0.997517,1.0
87,1,1.0,1.0,0.8,0.999247,0.996114,1.0
89,0,0.666667,0.6,0.8,0.981151,0.984657,0.5
97,0,1.0,0.8,0.7,0.98928,0.987819,0.333333
102,1,1.0,0.6,0.8,0.996433,0.993861,1.0
108,1,1.0,0.6,0.8,0.992842,0.986416,1.0
111,1,0.666667,0.4,0.7,0.946221,0.978826,1.0
121,1,1.0,0.8,0.9,0.999716,0.99467,1.0
137,0,1.0,0.8,0.7,0.992886,0.988245,0.333333
138,1,0.333333,0.8,0.9,0.987699,0.988886,1.0
140,0,0.333333,0.6,0.7,0.984739,0.985269,0.142857
159,1,0.333333,0.8,0.9,0.987937,0.991249,1.0
169,0,0.0,0.4,0.6,0.953628,0.96101,0.25
175,1,1.0,0.8,0.9,0.999768,0.994616,1.0
185,0,0.333333,0.8,0.9,0.979791,0.985314,0.2
199,1,1.0,1.0,0.9,0.997956,0.997077,1.0
200,0,0.666667,1.0,0.9,0.993463,0.994098,0.333333
209,1,0.666667,0.6,0.8,0.98866,0.983812,1.0
210,0,0.666667,1.0,0.9,0.998694,0.998889,0.5
211,0,1.0,0.8,0.7,0.997793,0.988407,0.5
214,1,0.666667,1.0,0.8,0.999532,0.994106,1.0
216,1,0.666667,0.6,1.0,0.987534,0.996324,1.0
219,1,0.666667,0.8,0.9,0.996251,0.992679,1.0
222,1,1.0,0.8,0.7,0.991418,0.991579,1.0
236,1,0.666667,0.8,0.7,0.985729,0.990715,1.0
238,1,0.666667,0.8,0.9,0.993182,0.996609,1.0
245,1,0.333333,0.6,0.8,0.975726,0.98705,1.0
248,0,0.333333,0.6,1.0,0.975653,0.992008,0.5
255,1,1.0,0.8,0.8,0.998226,0.99345,1.0
257,1,0.666667,0.6,0.9,0.992827,0.994908,1.0
260,1,0.333333,0.4,0.6,0.964085,0.970833,1.0
261,1,0.333333,0.6,0.8,0.979268,0.989245,1.0
262,1,1.0,0.8,0.8,0.994778,0.990569,1.0
266,1,0.666667,0.8,1.0,0.992284,0.998052,1.0
276,1,0.666667,0.8,0.7,0.995317,0.993845,1.0
278,0,0.666667,1.0,0.9,0.998175,0.997694,0.333333
281,1,0.666667,1.0,0.9,0.99971,0.999599,1.0
282,1,0.666667,1.0,0.9,0.996663,0.994789,1.0
290,0,0.666667,1.0,0.9,0.997787,0.997762,1.0
293,1,0.666667,1.0,0.7,0.998334,0.987662,1.0
295,0,0.333333,0.6,0.7,0.990732,0.988375,0.5
297,1,0.666667,1.0,0.8,0.996244,0.992977,1.0
299,0,0.666667,0.6,0.8,0.988526,0.993928,0.5
300,1,1.0,1.0,0.8,0.997415,0.99415,1.0
308,1,1.0,1.0,0.7,1.0,0.991224,1.0
310,1,1.0,0.8,0.9,0.998921,0.998674,1.0
311,1,0.666667,1.0,0.9,0.997689,0.996121,1.0
313,1,0.666667,1.0,0.9,0.999825,0.996241,1.0
315,0,0.333333,0.8,0.9,0.990481,0.99313,0.5
319,1,1.0,0.8,0.8,0.99905,0.995138,1.0
320,1,0.666667,0.8,0.9,0.994025,0.994686,1.0
322,0,0.666667,0.8,1.0,0.976245,0.992587,0.166667
328,1,0.666667,1.0,0.9,0.998962,0.998236,1.0
329,1,0.666667,0.8,0.9,0.982579,0.995498,1.0
333,0,0.666667,0.8,0.9,0.981347,0.983393,0.5
347,1,0.666667,0.8,0.8,0.9968,0.993269,1.0
352,0,0.666667,0.8,0.9,0.992261,0.991894,0.25
356,1,0.666667,0.6,0.9,0.987326,0.995795,1.0
362,1,0.666667,0.8,0.7,0.988125,0.992472,1.0
364,0,1.0,0.8,0.8,0.992362,0.993857,0.5
366,1,0.333333,0.2,0.9,0.974872,0.988378,1.0
371,1,0.333333,1.0,1.0,0.994826,0.9961,1.0
372,0,1.0,0.8,0.7,0.993645,0.991982,0.5
378,1,0.666667,0.6,0.9,0.993153,0.99361,1.0
383,1,0.666667,0.8,0.8,0.997765,0.99449,1.0
409,0,0.666667,0.8,0.8,0.983919,0.978752,0.5
